,iso_code,location,total_cases,total_deaths
0,AFG,Afghanistan,40833.0,1514.0
1,ARE,United Arab Emirates,125123.0,477.0
2,ARM,Armenia,78810.0,1196.0
3,AZE,Azerbaijan,49959.0,671.0
4,BGD,Bangladesh,398815.0,5803.0
5,BHR,Bahrain,80255.0,312.0
6,BRN,Brunei,148.0,3.0
7,BTN,Bhutan,342.0,0.0
8,CHN,China,91151.0,4739.0
9,GEO,Georgia,30303.0,215.0
10,HKG,Hong Kong,0,0
11,IDN,Indonesia,389712.0,13299.0
12,IND,India,7909959.0,119014.0
13,IRN,Iran,568896.0,32616.0
14,IRQ,Iraq,451707.0,10623.0
15,ISR,Israel,310148.0,2397.0
16,JOR,Jordan,53087.0,579.0
17,JPN,Japan,97074.0,1718.0
18,KAZ,Kazakhstan,147463.0,2190.0
19,KGZ,Kyrgyzstan,56170.0,1134.0
20,KHM,Cambodia,287.0,0.0
21,KOR,South Korea,25955.0,457.0
22,KWT,Kuwait,121635.0,746.0
23,LAO,Laos,24.0,0.0
24,LBN,Lebanon,71390.0,565.0
25,LKA,Sri Lanka,7872.0,15.0
26,MDV,Maldives,11505.0,37.0
27,MMR,Myanmar,44774.0,1095.0
28,MNG,Mongolia,339.0,0.0
29,MYS,Malaysia,26565.0,229.0
30,NPL,Nepal,158089.0,847.0
31,OMN,Oman,112932.0,1174.0
32,PAK,Pakistan,328602.0,6739.0
33,PHL,Philippines,370028.0,6977.0
34,PSE,Palestine,62046.0,518.0
35,QAT,Qatar,131170.0,230.0
36,SAU,Saudi Arabia,344875.0,5296.0
37,SGP,Singapore,57970.0,28.0
38,SYR,Syria,5408.0,269.0
39,THA,Thailand,3743.0,59.0
40,TJK,Tajikistan,10776.0,81.0
41,TLS,Timor,29.0,0.0
42,TUR,Turkey,361801.0,9799.0
43,TWN,Taiwan,550.0,7.0
44,UZB,Uzbekistan,65480.0,550.0
45,VNM,Vietnam,1168.0,35.0
46,YEM,Yemen,2064.0,600.0
